protein1 protein2 combined_score
511145.b0015 511145.b3908 457
511145.b0015 511145.b3185 457
511145.b0015 511145.b3294 483
511145.b0015 511145.b2745 463
511145.b0015 511145.b2260 279
511145.b0015 511145.b1701 279
511145.b0015 511145.b1860 406
511145.b0015 511145.b3341 445
511145.b0015 511145.b2195 422
511145.b0015 511145.b3137 218
511145.b0015 511145.b0476 199
511145.b0015 511145.b3527 282
511145.b0015 511145.b4143 307
511145.b0015 511145.b2284 279
511145.b0015 511145.b2542 177
511145.b0015 511145.b3783 472
511145.b0015 511145.b3231 480
511145.b0015 511145.b3305 461
511145.b0015 511145.b1162 315
511145.b0015 511145.b0646 224
511145.b0015 511145.b4309 199
511145.b0015 511145.b2127 315
511145.b0015 511145.b1276 300
511145.b0015 511145.b3927 242
511145.b0020 511145.b3585 229
511145.b0020 511145.b0881 457
511145.b0020 511145.b2741 255
511145.b0020 511145.b0338 256
511145.b0023 511145.b3308 945
511145.b0023 511145.b0169 984
511145.b0023 511145.b3988 800
511145.b0023 511145.b0949 465
511145.b0023 511145.b2938 457
511145.b0023 511145.b3985 935
511145.b0023 511145.b3319 945
511145.b0023 511145.b4375 800
511145.b0023 511145.b3486 720
511145.b0023 511145.b3303 985
511145.b0023 511145.b3307 984
511145.b0023 511145.b3936 905
511145.b0023 511145.b3287 935
511145.b0023 511145.b0957 800
511145.b0023 511145.b3302 945
511145.b0023 511145.b0953 800
511145.b0023 511145.b2597 859
511145.b0023 511145.b2620 925
511145.b0023 511145.b3311 984
511145.b0023 511145.b3299 919
511145.b0023 511145.b2610 453
511145.b0023 511145.b3342 984
511145.b0023 511145.b3317 945
511145.b0023 511145.b3649 809
511145.b0023 511145.b1480 720
511145.b0023 511145.b3986 925
511145.b0023 511145.b3703 945
511145.b0023 511145.b3318 945
511145.b0023 511145.b2569 963
511145.b0023 511145.b3312 945
511145.b0023 511145.b2331 800
511145.b0023 511145.b3295 935
511145.b0023 511145.b4202 984
511145.b0023 511145.b4506 905
511145.b0023 511145.b3981 800
511145.b0023 511145.b3707 800
511145.b0023 511145.b3300 800
511145.b0023 511145.b3352 465
511145.b0023 511145.b0820 465
511145.b0023 511145.b3320 945
511145.b0023 511145.b3168 642
511145.b0023 511145.b3987 807
511145.b0023 511145.b3170 800
511145.b0023 511145.b0093 800
511145.b0023 511145.b3165 984
511145.b0023 511145.b3305 945
511145.b0023 511145.b3984 945
511145.b0023 511145.b3231 935
511145.b0023 511145.b3982 800
511145.b0023 511145.b0097 800
511145.b0023 511145.b1211 850
511145.b0023 511145.b1716 945
511145.b0023 511145.b3321 981
511145.b0023 511145.b3315 945
511145.b0023 511145.b3306 984
511145.b0023 511145.b3304 945
511145.b0023 511145.b2606 945
511145.b0023 511145.b3203 984
511145.b0023 511145.b3590 807
511145.b0023 511145.b3296 984
